index,question,answer_summary
340,Каким документом устанавливается порядок ведения технической документации по устройствам железнодорожной автоматики и телемеханики?,Локальным нормативным актом владельца инфраструктуры.
341,"Каким документом устанавливается порядок утверждения технических решений по оборудованию устройствами сигнализации, централизации и блокировки?",Локальным нормативным актом владельца инфраструктуры.
342,"Чем руководствуется владелец инфраструктуры, назначая локальным нормативным актом срок службы принадлежащих ему объектов автоматики и телемеханики?",Он руководствуется технической документации изготовителей и разработчиков устройств.
343,"Как юридически устанавливается порядок действий при выключении и включении устройств железнодорожной автоматики и телемеханики, устройств механизации и автоматизации сортировочных горок при их неисправности, осмотре и ремонте?",Локальным нормативным актом владельца инфраструктуры.
344,Каким документом определяется порядок временного изменения зависимостей устройств железнодорожной автоматики и телемеханики?,Локальным нормативным актом владельца инфраструктуры.
345,Какой связью оборудуются все участки железнодорожного пути?,Поездной диспетчерской и поездной межстанционной электросвязью.
346,Какой связью оборудуются все участки железнодорожного пути?,Поездной диспетчерской и поездной межстанционной электросвязью.
347,Какой связью оборудуются все участки железнодорожного пути?,Поездной диспетчерской и поездной межстанционной электросвязью.
348,Какой связью оборудуются все участки железнодорожного пути?,Поездной диспетчерской и поездной межстанционной электросвязью.
349,Какой связью оборудуются все участки железнодорожного пути?,Поездной диспетчерской и поездной межстанционной электросвязью.
350,Какой связью оборудуются все участки железнодорожного пути?,Поездной диспетчерской и поездной межстанционной электросвязью.
351,Какой связью оборудуются все участки железнодорожного пути?,Поездной диспетчерской и поездной межстанционной электросвязью.
352,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
353,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
354,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
355,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
356,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
357,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
358,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
359,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
360,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
361,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
362,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
363,Какие участки железнодорожного пути оборудуются поездной радиосвязью?,"Все участки пути, на которых обращаются поезда."
364,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
365,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
366,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
367,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
368,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
369,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
370,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
371,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
372,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
373,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
374,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
375,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
376,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
377,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
378,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
379,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
380,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
381,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
382,Какие виды технологической электросвязи применяются на железнодорожных станциях?,"Станционная радиосвязь, двусторонняя парковая связь (на основе радиосвязи, громкоговорящей связи или их сочетания), ремонтно-оперативная радиосвязь, беспроводная связь и другие виды."
383,С помощью какого вида связи связываются с руководителем ремнтных работ и машинистами хозяйственных поездов работники ремонтных подразделений?,Рабочие ремонтных подразделений связываются с руководителем работ и машинистами локомотивов хозяйственных поездов и специального самоходного подвижного состава с помощью ремонтно-оперативной радиосвязи.
384,С помощью какого вида связи связываются с руководителем ремнтных работ и машинистами хозяйственных поездов работники ремонтных подразделений?,Рабочие ремонтных подразделений связываются с руководителем работ и машинистами локомотивов хозяйственных поездов и специального самоходного подвижного состава с помощью ремонтно-оперативной радиосвязи.
385,"По чьему решению устройства регистрации переговоров, действий дежурного и диспетчерского персонала устанавливаются на рабочих местах?","Устройства регистрации переговоров, действий дежурного и диспетчерского персонала устанавливаются на рабочих местах по решению владельца инфраструктуры."
386,"По чьему решению устройства регистрации переговоров, действий дежурного и диспетчерского персонала устанавливаются на рабочих местах?","Устройства регистрации переговоров, действий дежурного и диспетчерского персонала устанавливаются на рабочих местах по решению владельца инфраструктуры."
387,"Для каких исключительно переговоров, кроме экстренных ситуаций, разрешено использовать поездную диспетчерскую, поездную межстанционную, стрелочную, двустороннюю парковую связь и поездную и станционную радиосвязь?","Использование поездной диспетчерской и поездной межстанционной, стрелочной, двусторонней парковой связи, а также поездной и станционной радиосвязи допускается только для переговоров о движении поездов, за исключением экстренных случаев."
388,"Для каких исключительно переговоров, кроме экстренных ситуаций, разрешено использовать поездную диспетчерскую, поездную межстанционную, стрелочную, двустороннюю парковую связь и поездную и станционную радиосвязь?","Использование поездной диспетчерской и поездной межстанционной, стрелочной, двусторонней парковой связи, а также поездной и станционной радиосвязи допускается только для переговоров о движении поездов, за исключением экстренных случаев."
389,"Для каких исключительно переговоров, кроме экстренных ситуаций, разрешено использовать поездную диспетчерскую, поездную межстанционную, стрелочную, двустороннюю парковую связь и поездную и станционную радиосвязь?","Использование поездной диспетчерской и поездной межстанционной, стрелочной, двусторонней парковой связи, а также поездной и станционной радиосвязи допускается только для переговоров о движении поездов, за исключением экстренных случаев."
390,"Для каких исключительно переговоров, кроме экстренных ситуаций, разрешено использовать поездную диспетчерскую, поездную межстанционную, стрелочную, двустороннюю парковую связь и поездную и станционную радиосвязь?","Использование поездной диспетчерской и поездной межстанционной, стрелочной, двусторонней парковой связи, а также поездной и станционной радиосвязи допускается только для переговоров о движении поездов, за исключением экстренных случаев."
391,"Для каких исключительно переговоров, кроме экстренных ситуаций, разрешено использовать поездную диспетчерскую, поездную межстанционную, стрелочную, двустороннюю парковую связь и поездную и станционную радиосвязь?","Использование поездной диспетчерской и поездной межстанционной, стрелочной, двусторонней парковой связи, а также поездной и станционной радиосвязи допускается только для переговоров о движении поездов, за исключением экстренных случаев."
392,"Для каких исключительно переговоров, кроме экстренных ситуаций, разрешено использовать поездную диспетчерскую, поездную межстанционную, стрелочную, двустороннюю парковую связь и поездную и станционную радиосвязь?","Использование поездной диспетчерской и поездной межстанционной, стрелочной, двусторонней парковой связи, а также поездной и станционной радиосвязи допускается только для переговоров о движении поездов, за исключением экстренных случаев."
393,Какие телефоны запрещено подключать к сети стрелочной связи на железнодорожных станциях?,"Телефоны, кроме телефонов станционных постов централизации и стрелочных постов, не должны подключаться к сети стрелочной связи."
394,Каким документом определяется перечень закрытых и пломбируемых устройств технологической электросвязи?,"Список устройств электросвязи, которые должны быть закрыты и опломбированы, устанавливается владельцем инфраструктуры."
395,Каким документом определяется перечень закрытых и пломбируемых устройств технологической электросвязи?,"Список устройств электросвязи, которые должны быть закрыты и опломбированы, устанавливается владельцем инфраструктуры."
396,Каким документом определяется перечень закрытых и пломбируемых устройств технологической электросвязи?,"Список устройств электросвязи, которые должны быть закрыты и опломбированы, устанавливается владельцем инфраструктуры."
397,Каким документом определяется перечень закрытых и пломбируемых устройств технологической электросвязи?,"Список устройств электросвязи, которые должны быть закрыты и опломбированы, устанавливается владельцем инфраструктуры."
398,Каким документом определяется перечень закрытых и пломбируемых устройств технологической электросвязи?,"Список устройств электросвязи, которые должны быть закрыты и опломбированы, устанавливается владельцем инфраструктуры."
399,Как обеспечивается поездная радиосвязь и беспроводная передача данных при скоростях движения от 140 до 250 км/ч?,"Поездная радиосвязь и беспроводная передача данных при скорости движения от 140 до 250 км/ч обеспечиваются цифровой технологической электро- и радиосвязью. Их оборудование устанавливается на инфраструктуре, локомотивах и мотор-вагонном подвижном составе скоростных и высокоскоростных железнодорожных линий и должно соответствовать требованиям безопасности и электромагнитной совместимости."
400,В чем на высокоскоростных линиях заключается роль поездной радиосвязи метрового и гектаметрового диапазонов по отношению к цифровой связи?,"Поездная радиосвязь в гектометровом и метровом диапазонах частот, с номинальными частотами 2 МГц и 160 МГц соответственно, на высокоскоростных линиях служит резервной системой для цифровой поездной радиосвязи."
401,Как и кем устанавливается порядок измерения радиопомех в канале поездной радиосвязи и системы беспроводной передачи данных на скоростных линиях?,Локальным нормативным актом владельца инфраструктуры.
402,"Как и кем устанавливается периодичность и объемы технического обслуживания, ремонта средств и сооружений электросвязи на скоростных линиях?",Локальным нормативным актом владельца инфраструктуры.
403,Как проводится техническое обслуживание железнодорожной электросвязи на высокоскоростных линиях?,"Техническое обслуживание железнодорожной электросвязи на высокоскоростных линиях основывается на анализе состояния систем связи, контроле их рабочих характеристик, управлении качеством передачи и регистрации неисправностей."
404,"Каким минимальным количеством независимых источников электропитания должны быть обеспечены устройства железнодорожных автоматики и телемеханики, технологической электросвязи и вычислительной техники?",Не менее чем двумя независимыми источниками.
405,"Каким минимальным количеством независимых источников электропитания должны быть обеспечены устройства железнодорожных автоматики и телемеханики, технологической электросвязи и вычислительной техники?",Не менее чем двумя независимыми источниками.
406,"Каким минимальным количеством независимых источников электропитания должны быть обеспечены устройства железнодорожных автоматики и телемеханики, технологической электросвязи и вычислительной техники?",Не менее чем двумя независимыми источниками.
407,"Кто, основываясь на чем, и каким документом назначает срок службы принадлежащих им объектов железнодорожного электроснабжения и порядок его продления?","Владелец инфраструктуры, локальным нормативным актом, на основании технической документации разработчиков устройств."
408,"Как устанавливаются правила оснащения объектов автоматики, телемеханики и связи источниками резервного питания, нормы их содержания и минимальное время работы?",Владелец инфраструктуры локальным нормативным актом.
409,Какие показатели напряжения должны соблюдаться на токоприемнике электроподвижного состава?,"От 21 до 29 кВ при переменном токе и от 2,7 кВ до 4 кВ - при постоянном токе."
410,Какие показатели напряжения должны соблюдаться на токоприемнике электроподвижного состава?,"От 21 до 29 кВ при переменном токе и от 2,7 кВ до 4 кВ - при постоянном токе."
411,"Какое номинальное напряжение переменного тока используется в устройствах автоматики, телемеханики и связи при однофазном и трехфазном токе?","Номинальное напряжение переменного тока на устройствах автоматики, телемеханики и связи должно быть 220 В при однофазном токе и 380 В - при трехфазном."
412,"Какое номинальное напряжение переменного тока используется в устройствах автоматики, телемеханики и связи при однофазном и трехфазном токе?","Номинальное напряжение переменного тока на устройствах автоматики, телемеханики и связи должно быть 220 В при однофазном токе и 380 В - при трехфазном."
413,От каких электрических явлений должны быть защищены устройства железнодорожного электроснабжения?,"Короткие замыкания, перенапряжения, включая атмосферные и коммутационные, перегрузки сверх норм."
414,От каких электрических явлений должны быть защищены устройства железнодорожного электроснабжения?,"Короткие замыкания, перенапряжения, включая атмосферные и коммутационные, перегрузки сверх норм."
415,От каких электрических явлений должны быть защищены устройства железнодорожного электроснабжения?,"Короткие замыкания, перенапряжения, включая атмосферные и коммутационные, перегрузки сверх норм."
416,От каких электрических явлений должны быть защищены устройства железнодорожного электроснабжения?,"Короткие замыкания, перенапряжения, включая атмосферные и коммутационные, перегрузки сверх норм."
417,От каких электрических явлений должны быть защищены устройства железнодорожного электроснабжения?,"Короткие замыкания, перенапряжения, включая атмосферные и коммутационные, перегрузки сверх норм."
418,"Какой вне искусственных сооружений должна быть высота подвеса контактного провода на железнодорожных переездах, а какой на станциях и перегонах?",Высота подвеса должна быть не менее: 5750 мм - на перегонах и железнодорожных станциях; 6000 мм - на железнодорожных переездах.
419,"Какой вне искусственных сооружений должна быть высота подвеса контактного провода на железнодорожных переездах, а какой на станциях и перегонах?",Высота подвеса должна быть не менее: 5750 мм - на перегонах и железнодорожных станциях; 6000 мм - на железнодорожных переездах.
420,"Какой вне искусственных сооружений должна быть высота подвеса контактного провода на железнодорожных переездах, а какой на станциях и перегонах?",Высота подвеса должна быть не менее: 5750 мм - на перегонах и железнодорожных станциях; 6000 мм - на железнодорожных переездах.
421,"Каково минимальное допустимое расстояние от токоведущих элементов токоприемника и частей контактной сети, находящихся под напряжением, до заземленных частей искусственных сооружений и железнодорожного подвижного состава в электрифицированных системах на постоянном и переменном токе?","Не менее 200 мм на линиях на постоянном токе, и не менее 270 мм - на переменном."
422,Каким должно быть минимальное расстояние от оси крайнего железнодорожного пути до внутреннего края опор контактной сети на перегонах и станциях?,Это расстояние должно быть не менее 3100 мм.
423,Каким должно быть минимальное расстояние от оси крайнего железнодорожного пути до внутреннего края опор контактной сети на перегонах и станциях?,Это расстояние должно быть не менее 3100 мм.
424,Каким должно быть минимальное расстояние от оси крайнего железнодорожного пути до внутреннего края опор контактной сети на перегонах и станциях?,Это расстояние должно быть не менее 3100 мм.
425,Каким должно быть минимальное расстояние от оси крайнего железнодорожного пути до внутреннего края опор контактной сети на перегонах и станциях?,Это расстояние должно быть не менее 3100 мм.
426,Каким должно быть минимальное расстояние от оси крайнего железнодорожного пути до внутреннего края опор контактной сети на перегонах и станциях?,Это расстояние должно быть не менее 3100 мм.
427,Каким должно быть минимальное расстояние от оси крайнего железнодорожного пути до внутреннего края опор контактной сети на перегонах и станциях?,Это расстояние должно быть не менее 3100 мм.
428,Какие железнодорожные сооружения и устройства железнодорожного электроснабжения подлежат заземлению?,"Все металлические сооружения (мосты, путепроводы, опоры), на которых крепятся элементы сети, детали крепления сети на опорах, железобетонных и неметаллических искусственных сооружениях, отдельно стоящие металлические конструкции, расположенные на расстоянии менее 5 м от частей контактной сети, заземляются."
429,Какие железнодорожные сооружения и устройства железнодорожного электроснабжения подлежат заземлению?,"Все металлические сооружения (мосты, путепроводы, опоры), на которых крепятся элементы сети, детали крепления сети на опорах, железобетонных и неметаллических искусственных сооружениях, отдельно стоящие металлические конструкции, расположенные на расстоянии менее 5 м от частей контактной сети, заземляются."
430,Какие железнодорожные сооружения и устройства железнодорожного электроснабжения подлежат заземлению?,"Все металлические сооружения (мосты, путепроводы, опоры), на которых крепятся элементы сети, детали крепления сети на опорах, железобетонных и неметаллических искусственных сооружениях, отдельно стоящие металлические конструкции, расположенные на расстоянии менее 5 м от частей контактной сети, заземляются."
431,С какой целью контактная сеть разделяется на секции и какие устройства используются для этого?,"Контактная сеть делится на секции с целью обеспечить электрическую независимость смежных секций. Это делается при помощи изолирующих сопряжений анкерных участков, нейтральных вставок, секционных и секционирующих изоляторов, разъединителей."
432,С какой целью контактная сеть разделяется на секции и какие устройства используются для этого?,"Контактная сеть делится на секции с целью обеспечить электрическую независимость смежных секций. Это делается при помощи изолирующих сопряжений анкерных участков, нейтральных вставок, секционных и секционирующих изоляторов, разъединителей."
433,С какой целью контактная сеть разделяется на секции и какие устройства используются для этого?,"Контактная сеть делится на секции с целью обеспечить электрическую независимость смежных секций. Это делается при помощи изолирующих сопряжений анкерных участков, нейтральных вставок, секционных и секционирующих изоляторов, разъединителей."
434,С какой целью контактная сеть разделяется на секции и какие устройства используются для этого?,"Контактная сеть делится на секции с целью обеспечить электрическую независимость смежных секций. Это делается при помощи изолирующих сопряжений анкерных участков, нейтральных вставок, секционных и секционирующих изоляторов, разъединителей."
435,"Какой документ определяет схему питания и секционирования контактной сети, линий автоблокировки и продольного технологического электроснабжения на железнодорожной инфраструктуре?",Локальным нормативным актом владельца инфраструктуры.
436,"Какой документ определяет схему питания и секционирования контактной сети, линий автоблокировки и продольного технологического электроснабжения на железнодорожной инфраструктуре?",Локальным нормативным актом владельца инфраструктуры.
437,"Кто осуществляет переключение разъединителей контактной сети в электровозных и мотор-вагонных депо, а также на железнодорожных путях, специализированных для осмотра оборудования электроподвижного состава, установленного на крыше?",Уполнимоченные сотрудники владельца инфраструктуры.
